internal_player_id,draft_command_board_rank,canonical_player_id,gsis_id,espn_id,display_name,normalized_name,position,current_team,consensus_source_team,team_conflict_preserved,identity_method,identity_confidence,consensus_join_key,consensus_join_status
105,105,00-0030506,00-0030506,15847,Travis Kelce,traviskelce,TE,KC,KC,false,espn-id,1.0,traviskelce|TE,MATCHED_CANONICAL_NAME_POSITION
106,106,00-0026498,00-0026498,12483,Matthew Stafford,matthewstafford,QB,LAR,LAR,false,espn-id,1.0,matthewstafford|QB,MATCHED_CANONICAL_NAME_POSITION
107,107,00-0038933,00-0038933,4385690,Dalton Kincaid,daltonkincaid,TE,BUF,BUF,false,espn-id,1.0,daltonkincaid|TE,MATCHED_CANONICAL_NAME_POSITION
108,108,00-0040667,00-0040667,4701936,Matthew Golden,matthewgolden,WR,GB,GB,false,espn-id,1.0,matthewgolden|WR,MATCHED_CANONICAL_NAME_POSITION
109,109,00-0034960,00-0034960,3916433,Jakobi Meyers,jakobimeyers,WR,JAC,JAC,false,espn-id,1.0,jakobimeyers|WR,MATCHED_CANONICAL_NAME_POSITION
110,110,00-0039146,00-0039146,4362249,Jayden Reed,jaydenreed,WR,GB,GB,false,espn-id,1.0,jaydenreed|WR,MATCHED_CANONICAL_NAME_POSITION
111,111,00-0037256,00-0037256,4697815,Rachaad White,rachaadwhite,RB,WAS,WAS,false,espn-id,1.0,rachaadwhite|RB,MATCHED_CANONICAL_NAME_POSITION
112,112,00-0033873,00-0033873,3139477,Patrick Mahomes II,patrickmahomes,QB,KC,KC,false,espn-id,1.0,patrickmahomes|QB,MATCHED_CANONICAL_NAME_POSITION
113,113,00-0039732,00-0039732,4426338,Bo Nix,bonix,QB,DEN,DEN,false,espn-id,1.0,bonix|QB,MATCHED_CANONICAL_NAME_POSITION
114,114,00-0033293,00-0033293,3042519,Aaron Jones Sr.,aaronjones,RB,MIN,MIN,false,espn-id,1.0,aaronjones|RB,MATCHED_CANONICAL_NAME_POSITION
115,115,00-0037838,00-0037838,4361050,Isaiah Likely,isaiahlikely,TE,NYG,NYG,false,espn-id,1.0,isaiahlikely|TE,MATCHED_CANONICAL_NAME_POSITION
116,116,00-0037525,00-0037525,4360569,Jordan Mason,jordanmason,RB,MIN,MIN,false,espn-id,1.0,jordanmason|RB,MATCHED_CANONICAL_NAME_POSITION
117,117,00-0034351,00-0034351,3121023,Dallas Goedert,dallasgoedert,TE,PHI,PHI,false,espn-id,1.0,dallasgoedert|TE,MATCHED_CANONICAL_NAME_POSITION
118,118,00-0041035,00-0041035,4710714,De'Zhaun Stribling,dezhaunstribling,WR,SF,SF,false,espn-id,1.0,dezhaunstribling|WR,MATCHED_CANONICAL_NAME_POSITION
119,119,00-0038041,00-0038041,4242355,Jake Ferguson,jakeferguson,TE,DAL,DAL,false,espn-id,1.0,jakeferguson|TE,MATCHED_CANONICAL_NAME_POSITION
120,120,00-0041547,00-0041547,4870653,KC Concepcion,kcconcepcion,WR,CLE,CLE,false,espn-id,1.0,kcconcepcion|WR,MATCHED_CANONICAL_NAME_POSITION
121,121,00-0039491,00-0039491,4695883,Jalen Coker,jalencoker,WR,CAR,CAR,false,espn-id,1.0,jalencoker|WR,MATCHED_CANONICAL_NAME_POSITION
122,122,00-0037816,00-0037816,4361432,Romeo Doubs,romeodoubs,WR,NE,NE,false,espn-id,1.0,romeodoubs|WR,MATCHED_CANONICAL_NAME_POSITION
123,123,00-0035228,00-0035228,3917315,Kyler Murray,kylermurray,QB,MIN,MIN,false,espn-id,1.0,kylermurray|QB,MATCHED_CANONICAL_NAME_POSITION
124,124,00-0033106,00-0033106,3046779,Jared Goff,jaredgoff,QB,DET,DET,false,espn-id,1.0,jaredgoff|QB,MATCHED_CANONICAL_NAME_POSITION
125,125,00-0034753,00-0034753,3116365,Mark Andrews,markandrews,TE,BAL,BAL,false,espn-id,1.0,markandrews|TE,MATCHED_CANONICAL_NAME_POSITION
126,126,00-0039894,00-0039894,4683062,Xavier Worthy,xavierworthy,WR,KC,KC,false,espn-id,1.0,xavierworthy|WR,MATCHED_CANONICAL_NAME_POSITION
127,127,00-0041029,00-0041029,4880281,Jordyn Tyson,jordyntyson,WR,NO,NO,false,espn-id,1.0,jordyntyson|WR,MATCHED_CANONICAL_NAME_POSITION
128,128,00-0038611,00-0038611,4362619,Chris Rodriguez Jr.,chrisrodriguez,RB,JAC,JAC,false,espn-id,1.0,chrisrodriguez|RB,MATCHED_CANONICAL_NAME_POSITION
129,129,00-0037261,00-0037261,4373678,Khalil Shakir,khalilshakir,WR,BUF,BUF,false,espn-id,1.0,khalilshakir|WR,MATCHED_CANONICAL_NAME_POSITION
130,130,00-0039032,00-0039032,4428557,Tyjae Spears,tyjaespears,RB,TEN,TEN,false,espn-id,1.0,tyjaespears|RB,MATCHED_CANONICAL_NAME_POSITION
131,131,00-0034855,00-0034855,3052587,Baker Mayfield,bakermayfield,QB,TB,TB,false,espn-id,1.0,bakermayfield|QB,MATCHED_CANONICAL_NAME_POSITION
132,132,00-0040718,00-0040718,4685415,Travis Hunter,travishunter,WR,JAC,JAC,false,espn-id,1.0,travishunter|WR,MATCHED_CANONICAL_NAME_POSITION
133,133,00-0035719,00-0035719,3126486,Deebo Samuel Sr.,deebosamuel,WR,SF,SF,false,espn-id,1.0,deebosamuel|WR,MATCHED_CANONICAL_NAME_POSITION
134,134,00-0040583,00-0040583,4429059,Woody Marks,woodymarks,RB,HOU,HOU,false,espn-id,1.0,woodymarks|RB,MATCHED_CANONICAL_NAME_POSITION
135,135,00-0039165,00-0039165,4426385,Zach Charbonnet,zachcharbonnet,RB,SEA,SEA,false,espn-id,1.0,zachcharbonnet|RB,MATCHED_CANONICAL_NAME_POSITION
136,136,00-0037263,00-0037263,4373626,Tyler Allgeier,tylerallgeier,RB,ARI,ARI,false,espn-id,1.0,tylerallgeier|RB,MATCHED_CANONICAL_NAME_POSITION
137,137,00-0036264,00-0036264,4036378,Jordan Love,jordanlove,QB,GB,GB,false,espn-id,1.0,jordanlove|QB,MATCHED_CANONICAL_NAME_POSITION
138,138,00-0040743,00-0040743,4360689,Tyler Shough,tylershough,QB,NO,NO,false,espn-id,1.0,tylershough|QB,MATCHED_CANONICAL_NAME_POSITION
139,139,00-0033090,00-0033090,3046439,Hunter Henry,hunterhenry,TE,NE,NE,false,espn-id,1.0,hunterhenry|TE,MATCHED_CANONICAL_NAME_POSITION
140,140,00-0038454,00-0038454,4596334,Keaton Mitchell,keatonmitchell,RB,LAC,LAC,false,espn-id,1.0,keatonmitchell|RB,MATCHED_CANONICAL_NAME_POSITION
141,141,00-0037545,00-0037545,4032473,Rashid Shaheed,rashidshaheed,WR,SEA,SEA,false,espn-id,1.0,rashidshaheed|WR,MATCHED_CANONICAL_NAME_POSITION
142,142,00-0036040,00-0036040,3929645,Juwan Johnson,juwanjohnson,TE,NO,NO,false,espn-id,1.0,juwanjohnson|TE,MATCHED_CANONICAL_NAME_POSITION
144,144,00-0041037,00-0041037,4832800,Denzel Boston,denzelboston,WR,CLE,CLE,false,espn-id,1.0,denzelboston|WR,MATCHED_CANONICAL_NAME_POSITION
